"fips","lead_pct_prez","lead_scale_prez","lead_pct_gov","lead_scale_gov","county_name","pct_residuals","scale_residuals"
"51001",47.8482184173994,0.712058345468338,42.9797670141018,-0.00560272673762436,"Accomack",2.50114190320018,0.297857315470731
"51003",24.8070412999323,-1.65417311249066,42.4957013018914,-0.0632494013888784,"Albemarle",-6.32362505322857,-0.753071219185165
"51510",18.8309776207303,-2.26788958194023,65.4621435594887,2.67179047300157,"Alexandria City",14.4795352891031,1.72434658943486
"51005",46.932321315623,0.617999586081705,44,0.115895320992299,"Alleghany",3.18982828202124,0.37987196475329
"51007",48.0637813211845,0.734195744157,40.4907975460123,-0.302010444790397,"Amelia",0.090204289587716,0.010742296351184
"51009",39.6474788041053,-0.13012293513978,37.533802055165,-0.654154694437284,"Amherst",-5.9134178782754,-0.704220249249377
"51011",42.8452924097885,0.198278999877705,37.6114081996435,-0.644912692682472,"Appomattox",-4.67823164213216,-0.557123734680061
"51013",16.7877284006316,-2.47772263675332,61.2053832650673,2.16485914204571,"Arlington",9.48313694470526,1.12933284951848
"51015",37.3258443358378,-0.368544977758949,35.7451403887689,-0.867163785027647,"Augusta",-8.54249057920233,-1.0173126555113
"51017",48.8448844884488,0.81441173645937,52.2267206477733,1.09560339918573,"Bath",12.1088797926627,1.4420287084813
"51019",35.0151097096308,-0.60584765268961,41.6816009557945,-0.160199415821069,"Bedford",-3.4424954007984,-0.409961720800476
"51021",54.9905838041431,1.44554906845482,40.6685236768802,-0.280845300916874,"Bland",2.77537132911787,0.33051489500366
"51023",35.6037151702786,-0.545400360860256,41.7192812044682,-0.155712130352839,"Botetourt",-3.19174520899853,-0.380100248771353
"51520",44.1860465116279,0.335968776618973,31.6176470588235,-1.35870090305675,"Bristol City",-10.186651719499,-1.21311339069687
"51025",49.3838028169014,0.869756369919456,44.0928270042194,0.126949952576618,"Brunswick",4.17006979217709,0.496607486378199
"51027",69.7102721685689,2.95719881975392,47.8142076502732,0.570123707596299,"Buchanan",15.2494516092517,1.81603479311621
"51029",50.3468208092486,0.968654245512144,43.3763188745604,0.0416220518525036,"Buckingham",3.80216561300311,0.452794318073348
"51530",32.3383084577114,-0.880743822130275,52.4444444444444,1.12153180632952,"Buena Vista City",6.35136983563005,0.756375304568668
"51031",37.9649279571094,-0.30291379228567,36.3377609108159,-0.796589477522766,"Campbell",-7.71852746871354,-0.919188098954515
"51033",44.6709916589435,0.385770592607477,48.6567164179104,0.670456839222252,"Caroline",7.02796347099104,0.836949846794901
"51035",53.5286284953395,1.2954124402702,42.3011844331641,-0.0864141295711342,"Carroll",3.878817262697,0.461922650446259
"51036",37.7811094452774,-0.321791176155192,39.6,-0.408094216104466,"Charles City",-4.52282904637697,-0.53861706781338
"51037",53.8461538461538,1.32802095110998,42.4242424242424,-0.0717593341663225,"Charlotte",4.11681660747028,0.49026564283196
"51540",17.2608542181433,-2.42913461595641,48.0988593155894,0.604022456310577,"Charlottesville City",-3.45211966566612,-0.411107860367052
"51550",39.7225505875808,-0.122413380425659,39.8968396921565,-0.372744013176044,"Chesapeake City",-3.5232049231719,-0.419573299270428
"51041",33.4823084340924,-0.763259862078385,47.2650475184794,0.504725034130245,"Chesterfield",1.5860907291558,0.188885215219049
"51043",33.0696202531646,-0.805641193164944,41.7315175097276,-0.154254926732686,"Clarke",-4.09682873164485,-0.487885316058933
"51570",48.8452257842123,0.814446786091077,57.0872274143302,1.67443401070025,"Colonial Heights City",16.9695101052514,2.02087403291126
"51580",46.8822170900693,0.612854093988246,37.9084967320261,-0.60953285573703,"Covington City",-2.9198122700977,-0.347716154504078
"51045",47.0794392523364,0.633107976078735,41.2462908011869,-0.2120398627316,"Craig",0.489374468188598,0.0582788866029814
"51047",37.6166547020818,-0.33867998286745,30.8602494403582,-1.44889827294263,"Culpeper",-13.3221107607943,-1.58651060243191
"51049",47.3457675753228,0.660458768652525,56.6455696202532,1.62183763272897,"Cumberland",15.9850617720982,1.90363752691475
"51590",44.2448233861145,0.342004913084642,43.2178932178932,0.0227553731022132,"Danville City",1.43487114551597,0.170876697121003
"51051",60.4512276045123,2.00633409585462,33.2214765100671,-1.16770320947964,"Dickenson",-2.6949713356737,-0.320940177879253
"51053",51.9614835948645,1.134473285826,36.258865248227,-0.805985046095254,"Dinwiddie",-2.73079444182912,-0.325206298972832
"51595",46.9973890339426,0.624681765607533,53.8961038961039,1.29440779816979,"Emporia City",13.1094861136025,1.56118944550977
"51057",38.2176520994002,-0.276960091542624,52.2954091816367,1.10378341579095,"Essex",8.3306046945014,0.992079476729073
"51600",25.0246305418719,-1.63182761744212,44.8176583493282,0.213269052803161,"Fairfax City",-3.92290263492019,-0.467172712669888
"51059",25.0784673469697,-1.62629880521308,47.8396877172344,0.573158091344519,"Fairfax",-0.881384822262499,-0.104962823868509
"51610",15.6687898089172,-2.59263289857462,62.8712871287129,2.36324918621829,"Falls Church City",10.7439949872742,1.27948658180722
"51061",36.0858977197255,-0.495882251990938,38.7711032587358,-0.50680631150357,"Fauquier",-5.96537735919245,-0.710408027511539
"51063",42.0057542129059,0.112061977132118,33.9820359281437,-1.07712930552225,"Floyd",-8.61150927608841,-1.02553199074592
"51065",35.2132049518569,-0.585504108979243,38.1842456608812,-0.576694320831195,"Fluvanna",-6.86814197940414,-0.81791694011428
"51620",37.890625,-0.310544391783047,48,0.592249445625721,"Franklin City",3.91681461066709,0.46644769880393
"51067",44.5311547372272,0.371409932062126,43.4201507882111,0.0468419300670286,"Franklin",1.74077811900058,0.207306709264384
