"year","fips","lead_pct","lead_scale","county_name","scale_adjust","scale_residuals","pct_residuals"
2016,"51001",47.8482184173994,0.712058345468338,"Accomack",0.712058345468338,0.297857315470731,2.50114190320018
2016,"51003",24.8070412999323,-1.65417311249066,"Albemarle",-1.65417311249066,-0.753071219185165,-6.32362505322857
2016,"51510",18.8309776207303,-2.26788958194023,"Alexandria City",-2.26788958194023,1.72434658943486,14.4795352891031
2016,"51005",46.932321315623,0.617999586081705,"Alleghany",0.617999586081705,0.37987196475329,3.18982828202124
2016,"51007",48.0637813211845,0.734195744157,"Amelia",0.734195744157,0.010742296351184,0.090204289587716
2016,"51009",39.6474788041053,-0.13012293513978,"Amherst",-0.13012293513978,-0.704220249249377,-5.9134178782754
2016,"51011",42.8452924097885,0.198278999877705,"Appomattox",0.198278999877705,-0.557123734680061,-4.67823164213216
2016,"51013",16.7877284006316,-2.47772263675332,"Arlington",-2.47772263675332,1.12933284951848,9.48313694470526
2016,"51015",37.3258443358378,-0.368544977758949,"Augusta",-0.368544977758949,-1.0173126555113,-8.54249057920233
2016,"51017",48.8448844884488,0.81441173645937,"Bath",0.81441173645937,1.4420287084813,12.1088797926627
2016,"51019",35.0151097096308,-0.60584765268961,"Bedford",-0.60584765268961,-0.409961720800476,-3.4424954007984
2016,"51021",54.9905838041431,1.44554906845482,"Bland",1.44554906845482,0.33051489500366,2.77537132911787
2016,"51023",35.6037151702786,-0.545400360860256,"Botetourt",-0.545400360860256,-0.380100248771353,-3.19174520899853
2016,"51520",44.1860465116279,0.335968776618973,"Bristol City",0.335968776618973,-1.21311339069687,-10.186651719499
2016,"51025",49.3838028169014,0.869756369919456,"Brunswick",0.869756369919456,0.496607486378199,4.17006979217709
2016,"51027",69.7102721685689,2.95719881975392,"Buchanan",2.95719881975392,1.81603479311621,15.2494516092517
2016,"51029",50.3468208092486,0.968654245512144,"Buckingham",0.968654245512144,0.452794318073348,3.80216561300311
2016,"51530",32.3383084577114,-0.880743822130275,"Buena Vista City",-0.880743822130275,0.756375304568668,6.35136983563005
2016,"51031",37.9649279571094,-0.30291379228567,"Campbell",-0.30291379228567,-0.919188098954515,-7.71852746871354
2016,"51033",44.6709916589435,0.385770592607477,"Caroline",0.385770592607477,0.836949846794901,7.02796347099104
2016,"51035",53.5286284953395,1.2954124402702,"Carroll",1.2954124402702,0.461922650446259,3.878817262697
2016,"51036",37.7811094452774,-0.321791176155192,"Charles City",-0.321791176155192,-0.53861706781338,-4.52282904637697
2016,"51037",53.8461538461538,1.32802095110998,"Charlotte",1.32802095110998,0.49026564283196,4.11681660747028
2016,"51540",17.2608542181433,-2.42913461595641,"Charlottesville City",-2.42913461595641,-0.411107860367052,-3.45211966566612
2016,"51550",39.7225505875808,-0.122413380425659,"Chesapeake City",-0.122413380425659,-0.419573299270428,-3.5232049231719
2016,"51041",33.4823084340924,-0.763259862078385,"Chesterfield",-0.763259862078385,0.188885215219049,1.5860907291558
2016,"51043",33.0696202531646,-0.805641193164944,"Clarke",-0.805641193164944,-0.487885316058933,-4.09682873164485
2016,"51570",48.8452257842123,0.814446786091077,"Colonial Heights City",0.814446786091077,2.02087403291126,16.9695101052514
2016,"51580",46.8822170900693,0.612854093988246,"Covington City",0.612854093988246,-0.347716154504078,-2.9198122700977
2016,"51045",47.0794392523364,0.633107976078735,"Craig",0.633107976078735,0.0582788866029814,0.489374468188598
2016,"51047",37.6166547020818,-0.33867998286745,"Culpeper",-0.33867998286745,-1.58651060243191,-13.3221107607943
2016,"51049",47.3457675753228,0.660458768652525,"Cumberland",0.660458768652525,1.90363752691475,15.9850617720982
2016,"51590",44.2448233861145,0.342004913084642,"Danville City",0.342004913084642,0.170876697121003,1.43487114551597
2016,"51051",60.4512276045123,2.00633409585462,"Dickenson",2.00633409585462,-0.320940177879253,-2.6949713356737
2016,"51053",51.9614835948645,1.134473285826,"Dinwiddie",1.134473285826,-0.325206298972832,-2.73079444182912
2016,"51595",46.9973890339426,0.624681765607533,"Emporia City",0.624681765607533,1.56118944550977,13.1094861136025
2016,"51057",38.2176520994002,-0.276960091542624,"Essex",-0.276960091542624,0.992079476729073,8.3306046945014
2016,"51600",25.0246305418719,-1.63182761744212,"Fairfax City",-1.63182761744212,-0.467172712669888,-3.92290263492019
2016,"51059",25.0784673469697,-1.62629880521308,"Fairfax",-1.62629880521308,-0.104962823868509,-0.881384822262499
2016,"51610",15.6687898089172,-2.59263289857462,"Falls Church City",-2.59263289857462,1.27948658180722,10.7439949872742
2016,"51061",36.0858977197255,-0.495882251990938,"Fauquier",-0.495882251990938,-0.710408027511539,-5.96537735919245
2016,"51063",42.0057542129059,0.112061977132118,"Floyd",0.112061977132118,-1.02553199074592,-8.61150927608841
2016,"51065",35.2132049518569,-0.585504108979243,"Fluvanna",-0.585504108979243,-0.81791694011428,-6.86814197940414
2016,"51620",37.890625,-0.310544391783047,"Franklin City",-0.310544391783047,0.46644769880393,3.91681461066709
2016,"51067",44.5311547372272,0.371409932062126,"Franklin",0.371409932062126,0.207306709264384,1.74077811900058
2016,"51069",36.7334264865704,-0.429383785778448,"Frederick",-0.429383785778448,-0.150129584707663,-1.26065527257222
2016,"51630",30.9846827133479,-1.01975546212969,"Fredericksburg City",-1.01975546212969,1.1714927411296,9.83715837062292
2016,"51640",50.0826446280992,0.941524468804457,"Galax City",0.941524468804457,0.997615618553039,8.37709230980841
2016,"51071",46.8171557562077,0.60617257011925,"Giles",0.60617257011925,0.448864474593157,3.76916626838137
