"fips","lead_pct","lead_scale"
"51001",42.9797670141018,-0.00560272673762436
"51003",42.4957013018914,-0.0632494013888784
"51510",65.4621435594887,2.67179047300157
"51005",44,0.115895320992299
"51007",40.4907975460123,-0.302010444790397
"51009",37.533802055165,-0.654154694437284
"51011",37.6114081996435,-0.644912692682472
"51013",61.2053832650673,2.16485914204571
"51015",35.7451403887689,-0.867163785027647
"51017",52.2267206477733,1.09560339918573
"51019",41.6816009557945,-0.160199415821069
"51021",40.6685236768802,-0.280845300916874
"51023",41.7192812044682,-0.155712130352839
"51520",31.6176470588235,-1.35870090305675
"51025",44.0928270042194,0.126949952576618
"51027",47.8142076502732,0.570123707596299
"51029",43.3763188745604,0.0416220518525036
"51530",52.4444444444444,1.12153180632952
"51031",36.3377609108159,-0.796589477522766
"51033",48.6567164179104,0.670456839222252
"51035",42.3011844331641,-0.0864141295711342
"51036",39.6,-0.408094216104466
"51037",42.4242424242424,-0.0717593341663225
"51540",48.0988593155894,0.604022456310577
"51550",39.8968396921565,-0.372744013176044
"51041",47.2650475184794,0.504725034130245
"51043",41.7315175097276,-0.154254926732686
"51570",57.0872274143302,1.67443401070025
"51580",37.9084967320261,-0.60953285573703
"51045",41.2462908011869,-0.2120398627316
"51047",30.8602494403582,-1.44889827294263
"51049",56.6455696202532,1.62183763272897
"51590",43.2178932178932,0.0227553731022132
"51051",33.2214765100671,-1.16770320947964
"51053",36.258865248227,-0.805985046095254
"51595",53.8961038961039,1.29440779816979
"51057",52.2954091816367,1.10378341579095
"51059",47.8396877172344,0.573158091344519
"51600",44.8176583493282,0.213269052803161
"51610",62.8712871287129,2.36324918621829
"51061",38.7711032587358,-0.50680631150357
"51063",33.9820359281437,-1.07712930552225
"51065",38.1842456608812,-0.576694320831195
"51067",43.4201507882111,0.0468419300670286
"51620",48,0.592249445625721
"51069",43.2414256893073,0.0255578205574461
"51630",56.420233463035,1.59500268074899
"51640",48.046875,0.597831720523768
"51071",44.6210268948655,0.189852501711668
"51073",37.9284649776453,-0.607154866696435
"51075",55.7783448778709,1.51856111197449
"51077",35.6643356643357,-0.876786700971056
"51079",37.3088685015291,-0.680941700948013
"51081",58.2758620689655,1.81598676580468
"51083",41.6775032509753,-0.16068740546911
"51650",39.3819334389857,-0.434063442550408
"51085",42.4440095672972,-0.0694052941347276
"51660",45.3684210526316,0.278858574156364
"51087",56.54168554599,1.60946623091423
"51089",37.5424688561721,-0.653122577835496
"51091",32.843137254902,-1.2127590756568
"51670",38.4722222222222,-0.542399615133056
"51093",40.9473990119151,-0.247634446891272
"51095",50.9777478084963,0.946865058299556
"51097",48.0392156862745,0.596919584102519
"51099",36.2962962962963,-0.801527437560959
"51101",39.1263057929725,-0.464505763437597
"51103",53.525641025641,1.25028991907766
"51105",30.68669527897,-1.46956658309877
"51678",61.340206185567,2.1809150056145
"51107",44.9015811552114,0.223263296486472
"51109",48.1842338352524,0.614189582455604
"51111",47.8260869565217,0.571538396728616
"51680",54.5839753466872,1.37632539884552
"51113",35.2517985611511,-0.925915138637632
"51683",32.9691516709512,-1.19775220394473
"51685",23.8853503184713,-2.27952876434583
"51690",50.5681818181818,0.898090446100588
"51115",40.117994100295,-0.346407059551642
"51117",38.8085106382979,-0.502351521617036
"51119",46.5657741559953,0.421449596513853
"51121",45.2900041135335,0.269520016061243
"51125",35.7142857142857,-0.870838222891218
"51127",39.3271461716937,-0.440587977738393
"51700",39.2398286937902,-0.450986487926383
"51710",39.341494301393,-0.438879280047639
"51131",48.0373831775701,0.596701353332575
"51133",53.0844155844156,1.19774502937242
"51720",38.3720930232558,-0.554323854364028
"51135",50.4230118443316,0.880802367146474
"51137",44.2946990116801,0.150990593427106
"51139",39.3772893772894,-0.434616497036436
"51141",24.2469879518072,-2.23646186978028
"51730",44.7115384615385,0.200631391239591
"51143",39.1360831438779,-0.463341393079651
"51735",41.7582417582418,-0.151072375230828
"51740",38.6687797147385,-0.518991872061121
"51145",45.5864069622876,0.304818195950518
"51147",59.7546012269939,1.99208764010062
"51149",39.4736842105263,-0.423136977934995
"51153",31.6758962401632,-1.35176409360983
"51155",45.6637168141593,0.314024912653988
"51157",37.7391304347826,-0.629702439303492
"51159",46.551724137931,0.419776400499826
"51760",58.8504577822991,1.88441452531547
"51161",50.1669812690576,0.850312062005464
"51770",47.7376504773765,0.561006626326393
"51163",50.9174311926605,0.939682041115234
"51165",37.2754491017964,-0.684921568174367
"51167",22.5524475524476,-2.43826219692851
"51775",44.9062754686227,0.223822335375421
"51169",29.3637846655791,-1.62711006490128
"51171",45.021475985943,0.237541395771782
"51173",21.5332581736189,-2.55963596302541
"51175",48.7135506003431,0.677225138527738
"51177",49.302738336714,0.74739064062867
"51179",45.060936497755,0.242240690162228
"51790",41.329739442947,-0.202102086557237
"51800",37.8283712784588,-0.619074878310757
"51181",36.3855421686747,-0.790899277707468
"51183",45.5919395465995,0.305477063289731
"51185",29.7134238310709,-1.58547205024743
"51810",34.8632854156891,-0.97218259846641
"51187",36.7496339677892,-0.747540120144124
"51191",27.0655270655271,-1.90080618671501
"51820",42.2691879866518,-0.0902245393885703
"51193",44.0944881889764,0.127147780629308
"51830",53.2758620689655,1.22054411001291
"51840",52.74831243973,1.15771899955411
"51195",33.8181818181818,-1.09664245080187
"51197",37.5527426160338,-0.651899090864103
"51199",41.2217001281504,-0.214968329863722
