County/City,Ward,Pct,"Jill Holtzman Vogel","Bryce E. Reeves","Glenn Ray Davis, Jr.","All Others","Total Votes Cast"
"York County",-,"201 - Coventry",180,154,50,0,384
"York County",-,"202 - Kiln Creek",88,70,31,0,189
"York County",-,"301 - Seaford",179,250,108,0,537
"York County",-,"302 - Yorktown",118,177,50,0,345
"York County",-,"303 - Edgehill",109,117,58,0,284
"York County",-,"401 - Harwoods Mill",194,191,89,0,474
"York County",-,"402 - Dare",186,196,71,0,453
"York County",-,"403 - Grafton",73,112,34,0,219
"York County",-,"501 - Tabb",175,164,132,0,471
"York County",-,"502 - Bethel",152,117,76,0,345
"York County",-,"Ab - Central Absentee Precinct",64,45,26,0,135
"York County",-,Provisional,1,1,0,0,2
TOTALS,,,"151,880","141,888","60,998",22,"354,788"
