County/City,Ward,Pct,"Jill Holtzman Vogel","Bryce E. Reeves","Glenn Ray Davis, Jr.","All Others","Total Votes Cast"
"Virginia Beach City",-,Provisional,6,4,3,0,13
"Warren County",-,"101 - Fork Town",91,37,13,0,141
"Warren County",-,"102 - Otterburn",152,66,30,0,248
"Warren County",-,"201 - Happy Creek",125,66,17,0,208
"Warren County",-,"202 - Linden",150,41,13,0,204
"Warren County",-,"301 - North River",90,22,21,0,133
"Warren County",-,"302 - Riverton",138,30,24,0,192
"Warren County",-,"401 - East Shenandoah",170,87,36,0,293
"Warren County",-,"402 - Town - West Shenandoah",91,38,25,0,154
"Warren County",-,"501 - South River",115,38,17,0,170
"Warren County",-,"502 - Bentonville",68,24,17,0,109
"Warren County",-,"504 - Browntown",76,16,6,0,98
"Warren County",-,"Ab - Central Absentee Precinct",38,6,7,0,51
"Warren County",-,Provisional,0,0,0,0,0
"Washington County",-,"101 - East Abingdon",52,73,27,0,152
"Washington County",-,"102 - West Abingdon",33,30,19,0,82
"Washington County",-,"201 - Clinchburg",22,25,32,0,79
"Washington County",-,"202 - Greendale",40,67,27,0,134
"Washington County",-,"203 - Hayters Gap",14,32,31,0,77
"Washington County",-,"204 Woodland Hills",40,69,32,0,141
"Washington County",-,"301 - Watauga",51,92,29,0,172
"Washington County",-,"302 - South Abingdon",63,45,30,0,138
"Washington County",-,"401 - Glade Spring",28,41,16,0,85
"Washington County",-,"402 - Meadowview",31,54,35,0,120
"Washington County",-,"501 - Rhea Valley",45,47,44,0,136
"Washington County",-,"502 - Damascus",21,26,16,0,63
"Washington County",-,"504 - Green Cove",9,7,9,0,25
"Washington County",-,"601 - Burson Place",33,41,29,0,103
"Washington County",-,"602 - Mendota",12,14,6,0,32
"Washington County",-,"603 - Valley Institute",35,37,40,0,112
"Washington County",-,"701 - High Point",52,35,18,0,105
"Washington County",-,"702 - Wallace",23,11,21,0,55
"Washington County",-,"703 - John Battle",33,43,29,0,105
"Washington County",-,"Ab - Central Absentee Precinct",21,24,13,0,58
"Washington County",-,Provisional,0,0,0,0,0
"Waynesboro City",-,"1 - Ward A",22,29,28,0,79
"Waynesboro City",-,"2 - Ward B",88,103,71,0,262
"Waynesboro City",-,"3 - Ward C",51,54,34,0,139
"Waynesboro City",-,"4 - Ward D",133,126,84,0,343
"Waynesboro City",-,"Ab - Central Absentee Precinct",9,14,9,0,32
"Waynesboro City",-,Provisional,0,0,0,0,0
"Westmoreland County",-,"101 - Precinct 1-1",34,17,15,0,66
