County/City,Ward,Pct,"Jennifer Ann Kiggans","Jarome Bell","Larry Thomas Altman, III","Andrew George Baan","All Others","Total Votes Cast"
"Isle of Wight County",-,"503 - Fire Tower",86,59,9,1,0,155
"Isle of Wight County",-,"504 - Bethany Church",62,58,9,3,0,132
"Isle of Wight County",-,"##ab - Central Absentee Precinct",51,22,19,20,0,112
"Isle of Wight County",-,"##ev - Central Absentee Precinct",127,93,16,8,0,244
"Isle of Wight County",-,"##pe - Central Absentee Precinct",5,1,0,0,0,6
"Isle of Wight County",-,Provisional,1,0,0,0,0,1
"Northampton County",-,"101 - Precinct 1-1",106,36,53,3,0,198
"Northampton County",-,"201 - Precinct 2-1",35,21,3,0,0,59
"Northampton County",-,"301 - Precinct 3-1",22,28,1,1,0,52
"Northampton County",-,"401 - Precinct 4-1",60,44,13,5,0,122
"Northampton County",-,"501 - Precinct 5-1",80,45,3,1,0,129
"Northampton County",-,"##ab - Central Absentee Precinct",30,10,2,0,0,42
"Northampton County",-,"##ev - Central Absentee Precinct",58,11,11,0,0,80
"Northampton County",-,"##pe - Central Absentee Precinct",1,0,0,1,0,2
"Northampton County",-,Provisional,0,0,0,0,0,0
"Southampton County",-,"101 - Berlin",25,23,2,2,0,52
"Southampton County",-,"102 - Ivor",41,42,2,2,0,87
"Southampton County",-,"501 - Hunterdale",43,43,12,4,0,102
"Southampton County",-,"502 - Forks-of-the-river",14,8,1,0,0,23
"Southampton County",-,"601 - Courtland",25,31,10,4,0,70
"Southampton County",-,"602 - Sedley",27,19,7,1,0,54
"Southampton County",-,"701 - Blackwater River",9,10,0,1,0,20
"Southampton County",-,"702 - Newsoms",7,8,0,2,0,17
"Southampton County",-,"##ab - Central Absentee Precinct",13,3,6,1,0,23
"Southampton County",-,"##ev - Central Absentee Precinct",11,20,0,0,0,31
"Southampton County",-,"##pe - Central Absentee Precinct",0,0,0,0,0,0
"Southampton County",-,Provisional,0,0,0,0,0,0
"Suffolk City",-,"101 - Belleharbour",37,28,5,0,0,70
"Suffolk City",-,"102 - Driver",247,129,97,9,0,482
"Suffolk City",-,"104 - Bennetts Creek",78,67,32,5,0,182
"Suffolk City",-,"201 - Ebenezer",195,102,31,16,0,344
"Suffolk City",-,"202 - Chuckatuck",98,79,30,12,0,219
"Suffolk City",-,"203 - Kings Fork",65,39,59,3,0,166
"Suffolk City",-,"204 - Hillpoint",45,32,5,3,0,85
"Suffolk City",-,"301 - White Marsh",18,23,5,2,0,48
"Suffolk City",-,"302 - John F Kennedy",13,20,4,3,0,40
"Suffolk City",-,"304 - Nansemond River",57,48,21,9,0,135
"Suffolk City",-,"305 - Shoulders Hill",14,28,6,4,0,52
"Suffolk City",-,"401 - Airport",60,51,9,5,0,125
"Suffolk City",-,"402 - Whaleyville",84,107,18,3,0,212
"Suffolk City",-,"403 - Southside",5,2,3,1,0,11
"Suffolk City",-,"404 - Booker T Washington",2,3,2,0,0,7
"Suffolk City",-,"405 - Pittmantown",25,25,5,4,0,59
"Suffolk City",-,"501 - Kilbys Mill",88,88,20,8,0,204
