"","pct","donald_j_trump","marco_rubio","rafael_edward_cruz","john_kasich","benjamin_s_carson_sr","jeb_bush","rand_paul","mike_huckabee","chris_christie","carly_fiorina","jim_gilmore","lindsey_graham","rick_santorum","all_others","fips"
"680","128 - Cardinal (CD 11)",100,170,64,68,20,0,3,0,0,0,0,2,0,0,"51059"
"681","129 - Keene Mill (CD 11)",95,143,40,52,8,2,0,0,0,1,0,0,0,0,"51059"
"682","130 - Terra Centre (CD 11)",104,266,70,94,13,4,2,1,0,0,1,0,0,0,"51059"
"683","131 - Eagle View (CD 11)",156,231,95,92,41,1,3,1,0,2,0,1,0,0,"51059"
"684","132 - Monument (CD 11)",143,175,81,55,8,0,2,1,0,0,0,0,0,0,"51059"
"685","133 - Danbury (CD 11)",30,58,29,23,4,1,0,0,0,0,0,0,0,0,"51059"
"686","134 - University (CD 11)",43,194,33,40,17,1,5,0,0,0,0,0,0,0,"51059"
"687","201 - Armstrong (CD 11)",173,314,89,138,25,6,2,1,1,0,1,0,0,0,"51059"
"688","202 - Flint Hill (CD 11)",186,336,94,172,21,3,0,1,0,1,0,0,0,0,"51059"
"689","203 - Floris (CD 11)",225,337,119,160,36,1,1,0,2,3,1,3,0,0,"51059"
"690","204 - Madison (CD 11)",31,66,12,26,5,0,0,0,0,0,0,1,0,0,"51059"
"691","208 - Reston #1 (CD 11)",85,148,54,73,12,3,4,0,1,0,0,0,1,0,"51059"
"692","209 - Reston #2 (CD 11)",85,155,56,80,22,0,1,0,0,3,0,0,0,0,"51059"
"693","213 - Vienna #1 (CD 11)",197,338,99,171,22,1,2,1,1,1,0,0,0,0,"51059"
"694","214 - Vienna #2 (CD 11)",170,289,76,134,13,7,5,0,1,1,0,0,0,0,"51059"
"695","216 - Vienna #4 (CD 11)",80,123,38,61,4,4,1,0,0,1,0,0,0,0,"51059"
"696","218 - Vienna #6 (CD 11)",102,173,59,90,7,3,3,0,1,1,0,1,1,0,"51059"
"697","219 - Westbriar (CD 11)",176,348,60,141,31,3,1,0,0,0,1,0,1,0,"51059"
"698","220 - Dogwood (CD 11)",143,211,78,92,27,2,1,1,1,4,0,0,1,0,"51059"
"699","221 - Hunters Woods (CD 11)",128,247,88,166,17,2,1,0,0,2,1,0,0,0,"51059"
"700","222 - Reston #3 (CD 11)",74,101,27,50,9,3,2,1,1,1,1,0,1,0,"51059"
"701","223 - Glade (CD 11)",138,278,63,116,28,3,2,1,0,1,1,1,0,0,"51059"
"702","224 - South Lakes (CD 11)",166,272,68,159,12,5,2,0,1,2,1,0,0,0,"51059"
"703","225 - Terraset (CD 11)",108,192,62,93,19,1,2,1,0,0,0,0,0,0,"51059"
"704","226 - Wolftrap (CD 11)",190,400,85,251,9,3,1,0,1,1,0,0,0,0,"51059"
"705","227 - Sunrise Valley (CD 11)",97,165,50,114,11,2,0,0,0,2,0,0,0,0,"51059"
"706","229 - Fox Mill (CD 10)",279,444,140,242,29,7,2,1,1,1,1,2,0,0,"51059"
"707","233 - North Point (CD 11)",192,353,89,149,18,1,0,0,1,2,1,0,0,0,"51059"
"708","234 - Aldrin (CD 11)",139,216,72,121,21,2,1,1,1,0,0,0,0,0,"51059"
"709","235 - Frying Pan (CD 11)",104,187,54,66,15,1,2,0,0,0,1,1,0,0,"51059"
"710","236 - Stuart (CD 11)",55,129,41,55,4,0,0,0,0,1,0,0,0,0,"51059"
"711","237 - Mcnair (CD 11)",104,147,45,49,13,0,2,2,0,0,0,1,0,0,"51059"
"712","238 - Cameron Glen (CD 11)",170,216,59,121,19,2,2,0,2,0,0,0,1,0,"51059"
"713","240 - Colvin (CD 10)",156,303,63,132,17,0,1,0,0,1,0,0,0,0,"51059"
"714","301 - Chain Bridge (CD 10)",180,275,50,195,15,0,1,1,0,2,0,0,0,0,"51059"
"715","302 - Chesterbrook (CD 8)",103,313,54,214,9,2,2,0,1,0,0,0,0,0,"51059"
"716","303 - Churchill (CD 10)",68,157,24,88,8,4,2,0,0,1,0,0,0,0,"51059"
"717","304 - Cooper (CD 10)",129,226,36,125,2,3,1,0,0,2,0,1,0,0,"51059"
"718","305 - El Nido (CD 8)",120,198,41,124,7,3,1,0,1,1,0,0,0,0,"51059"
"719","306 - Great Falls (CD 10)",163,219,46,121,18,2,0,0,1,1,1,0,0,0,"51059"
"720","307 - Haycock (CD 8)",100,236,71,123,14,2,3,0,2,1,1,1,1,0,"51059"
"721","309 - Kenmore (CD 10)",208,326,78,188,20,3,1,1,0,0,0,1,0,0,"51059"
"722","310 - Kirby (CD 8)",105,193,37,134,11,4,2,1,1,0,0,0,0,0,"51059"
"723","311 - Langley (CD 10)",140,251,46,143,4,1,0,0,0,0,0,1,0,0,"51059"
"724","312 - Longfellow (CD 8)",116,237,70,135,10,5,3,0,0,0,0,0,0,0,"51059"
"725","314 - Mclean (CD 10)",138,240,35,98,9,1,2,0,0,0,0,2,0,0,"51059"
"726","315 - Pimmit (CD 8)",173,165,81,53,20,4,0,0,1,0,0,0,0,0,"51059"
"727","316 - Salona #1 (CD 8)",56,117,15,57,2,1,0,0,0,0,0,2,0,0,"51059"
"728","317 - Westhampton (CD 8)",126,168,59,95,12,0,0,0,0,0,0,0,0,0,"51059"
"729","318 - Westmoreland (CD 8)",76,141,34,64,2,1,3,0,0,1,0,0,0,0,"51059"
"730","319 - Herndon #1 (CD 11)",177,307,90,121,32,2,4,0,1,3,1,0,0,0,"51059"
"731","320 - Herndon #2 (CD 11)",155,230,95,60,26,5,2,1,4,1,0,1,1,0,"51059"
"732","321 - Clearview (CD 10)",218,397,124,149,36,2,1,1,3,2,0,0,0,0,"51059"
"733","322 - Forestville (CD 10)",235,363,103,178,17,3,1,0,1,1,0,1,1,0,"51059"
"734","323 - Shouse (CD 10)",112,229,53,109,9,1,2,0,0,0,0,0,0,0,"51059"
"735","324 - Herndon #3 (CD 11)",143,176,67,63,27,1,1,2,0,0,0,1,0,0,"51059"
"736","325 - Hutchison (CD 11)",60,84,43,24,7,0,1,2,0,2,0,0,0,0,"51059"
"737","327 - Sugarland (CD 10)",203,345,103,136,21,5,2,1,0,3,0,1,0,0,"51059"
"738","328 - Hickory (CD 10)",182,308,75,147,29,3,0,0,1,0,0,0,0,0,"51059"
"739","329 - Seneca (CD 10)",302,282,67,154,16,1,3,0,3,1,0,0,0,0,"51059"
"740","331 - Spring Hill (CD 10)",136,294,51,130,2,0,1,0,1,0,0,0,0,0,"51059"
"741","332 - Coates (CD 11)",78,136,39,32,17,3,0,1,0,0,0,0,1,0,"51059"
"742","333 - Salona #2 (CD 8)",76,199,43,100,5,2,1,0,0,0,0,1,0,0,"51059"
"743","401 - Bush Hill (CD 8)",173,248,81,109,34,4,1,0,0,1,0,2,0,0,"51059"
"744","402 - Cameron (CD 8)",56,82,26,26,8,2,0,0,0,0,0,1,0,0,"51059"
"745","403 - Forestdale (CD 8)",54,63,25,26,7,0,0,0,0,0,0,0,0,0,"51059"
"746","404 - Franconia (CD 8)",162,178,47,88,25,0,2,0,0,0,1,0,2,0,"51059"
"747","405 - Groveton (CD 8)",58,81,22,20,5,0,2,1,0,0,1,0,0,0,"51059"
"748","406 - Hayfield (CD 8)",166,247,83,84,29,3,3,0,1,0,0,0,0,0,"51059"
"749","408 - Mount Eagle (CD 8)",56,155,37,62,11,0,1,0,0,0,0,0,1,0,"51059"
"750","409 - Pioneer (CD 8)",136,151,55,41,14,5,1,0,0,0,0,0,0,0,"51059"
"751","410 - Rose Hill (CD 8)",212,287,113,104,26,1,3,1,2,0,0,1,0,0,"51059"
"752","411 - Virginia Hills (CD 8)",102,167,46,57,15,6,1,0,0,0,0,0,1,0,"51059"
"753","413 - Fairfield (CD 8)",42,40,26,10,6,0,0,0,0,0,0,0,0,0,"51059"
"754","415 - Crestwood (CD 8)",147,117,68,43,24,5,0,0,0,0,0,0,0,0,"51059"
"755","417 - Garfield (CD 8)",169,136,62,44,12,3,0,0,2,1,1,1,0,0,"51059"
"756","418 - Lynbrook (CD 8)",73,91,37,19,12,0,2,0,0,1,0,0,0,0,"51059"
"757","419 - Lane (CD 8)",101,168,57,63,16,1,2,1,0,0,0,0,0,0,"51059"
"758","420 - Villages (CD 8)",157,248,76,92,17,3,2,0,0,0,0,1,0,0,"51059"
"759","421 - Kingstowne (CD 8)",130,218,52,78,10,2,1,1,1,0,1,1,1,0,"51059"
"760","422 - Van Dorn (CD 8)",129,213,67,82,20,0,1,0,1,0,1,1,0,0,"51059"
"761","423 - Clermont (CD 8)",136,218,47,91,11,1,5,1,2,0,0,4,1,0,"51059"
"762","424 - Huntley (CD 8)",116,164,61,85,20,0,1,0,0,0,0,0,0,0,"51059"
"763","426 - Greenspring (CD 11)",109,149,49,129,28,6,0,0,2,2,1,2,0,0,"51059"
"764","427 - Island Creek (CD 8)",111,185,51,72,16,1,1,0,1,0,0,0,0,0,"51059"
"765","428 - Pinewood (CD 8)",72,50,34,21,5,1,0,0,1,0,0,1,0,0,"51059"
"766","429 - Hybla Valley (CD 8)",51,89,26,18,7,1,4,0,1,0,0,0,0,0,"51059"
"767","501 - Baileys (CD 8)",104,141,40,60,9,4,1,0,1,0,0,0,1,0,"51059"
"768","502 - Barcroft (CD 11)",61,114,32,81,9,0,1,0,0,0,0,0,0,0,"51059"
"769","503 - Belvedere (CD 11)",79,97,31,88,12,0,1,0,0,0,0,0,0,0,"51059"
"770","504 - Bristow (CD 11)",83,73,37,30,16,2,2,0,0,2,1,1,0,0,"51059"
"771","505 - Glen Forest (CD 8)",82,110,39,50,5,0,3,1,0,0,1,0,0,0,"51059"
"772","506 - Holmes #1 (CD 8)",16,14,1,4,6,1,0,0,0,0,0,0,0,0,"51059"
"773","507 - Lincolnia (CD 8)",114,160,60,75,8,0,0,0,1,2,0,2,0,0,"51059"
"774","508 - Masonville (CD 11)",113,187,50,82,28,6,3,1,0,1,0,0,0,0,"51059"
"775","509 - Plaza (CD 8)",39,29,11,13,2,0,1,0,0,0,0,0,0,0,"51059"
"776","510 - Parklawn (CD 8)",106,156,35,47,3,4,0,0,0,0,0,1,0,0,"51059"
"777","511 - Ravenwood (CD 11)",115,176,58,101,14,8,1,0,0,1,0,0,0,0,"51059"
"778","512 - Sleepy Hollow (CD 11)",51,97,28,55,9,0,1,0,0,0,0,0,1,0,"51059"
"779","513 - Saint Albans (CD 11)",65,118,30,52,5,0,1,0,1,1,0,0,0,0,"51059"
"780","513 - Saint Albans (CD 8)",49,72,20,39,2,1,0,0,0,0,0,0,0,0,"51059"
"781","514 - Crossroads (CD 8)",26,37,10,28,3,2,0,0,1,1,0,1,0,0,"51059"
"782","515 - Westlawn (CD 8)",65,69,29,25,13,1,3,0,1,0,0,1,0,0,"51059"
"783","516 - Weyanoke (CD 8)",102,133,41,53,17,3,0,0,0,0,0,0,0,0,"51059"
"784","517 - Willston (CD 8)",49,66,12,24,5,5,1,0,0,0,0,1,0,0,"51059"
"785","518 - Columbia (CD 11)",116,113,53,38,16,1,3,0,0,0,0,0,0,0,"51059"
"786","519 - Hummer (CD 11)",78,120,54,36,7,4,1,1,0,1,0,0,0,0,"51059"
"787","520 - Skyline (CD 8)",61,65,21,28,6,0,0,1,1,1,0,0,0,0,"51059"
"788","521 - Brook Hill (CD 8)",109,110,55,35,14,1,0,0,1,0,0,0,1,0,"51059"
"789","522 - Camelot (CD 11)",98,163,36,75,8,2,0,0,0,0,0,0,0,0,"51059"
"790","523 - Poe (CD 8)",123,163,49,62,17,2,3,0,1,2,0,0,0,0,"51059"
"791","525 - Walnut Hill (CD 8)",114,203,74,66,26,4,0,2,0,1,2,2,1,0,"51059"
"792","526 - Bren Mar (CD 8)",100,158,51,47,3,1,3,0,0,0,0,0,0,0,"51059"
"793","527 - Edsall (CD 8)",74,103,36,45,10,3,3,0,0,0,1,0,0,0,"51059"
"794","528 - Ridgelea (CD 11)",67,119,44,88,7,4,0,1,0,2,0,0,0,0,"51059"
"795","530 - Holmes #2 (CD 11)",57,64,16,57,3,3,1,0,0,0,0,0,0,0,"51059"
"796","601 - Belle Haven (CD 8)",135,226,39,128,11,5,0,0,1,0,0,0,1,0,"51059"
"797","602 - Belleview (CD 8)",118,169,41,88,14,2,1,0,0,0,0,0,0,0,"51059"
"798","604 - Bucknell (CD 8)",120,137,37,56,14,2,1,0,0,1,1,0,0,0,"51059"
"799","605 - Fort Hunt (CD 8)",169,308,76,171,10,4,2,1,0,1,0,0,0,0,"51059"
"800","606 - Hollin Hall (CD 8)",158,275,53,147,21,4,2,1,1,1,0,0,0,0,"51059"
"801","607 - Huntington (CD 8)",130,190,47,99,13,1,5,0,1,1,0,0,2,0,"51059"
"802","608 - Kirkside (CD 8)",74,136,44,84,9,0,0,0,0,0,1,0,0,0,"51059"
"803","609 - Marlan (CD 8)",139,200,47,152,21,3,0,0,1,1,1,0,0,0,"51059"
"804","610 - Sherwood (CD 8)",73,141,41,82,11,0,0,0,0,0,1,0,0,0,"51059"
"805","611 - Stratford (CD 8)",195,323,80,225,17,5,1,3,1,0,0,1,0,0,"51059"
"806","612 - Waynewood (CD 8)",71,203,31,81,6,3,1,0,0,2,0,0,0,0,"51059"
"807","613 - Westgate (CD 8)",277,402,118,259,22,3,1,0,1,1,0,0,0,0,"51059"
"808","614 - Riverside (CD 8)",142,221,79,151,25,2,0,0,0,1,0,0,0,0,"51059"
"809","615 - Woodley (CD 8)",179,174,95,85,19,2,0,0,1,0,1,0,0,0,"51059"
"810","616 - Gunston (CD 8)",204,165,103,73,20,2,2,0,0,2,0,0,0,0,"51059"
"811","617 - Lorton (CD 8)",69,71,38,25,5,0,0,0,0,0,0,0,0,0,"51059"
"812","618 - Newington (CD 11)",209,327,146,110,44,5,4,4,2,1,0,0,2,0,"51059"
"813","619 - Belvoir (CD 8)",126,161,58,62,15,2,0,0,0,0,0,1,0,0,"51059"
"814","621 - Grosvenor (CD 8)",48,114,36,42,4,1,1,2,0,2,1,0,0,0,"51059"
"815","622 - Lorton Station (CD 8)",93,124,56,32,17,3,3,0,0,0,1,1,0,0,"51059"
"816","623 - Alban (CD 8)",129,190,59,66,16,0,2,1,0,1,0,0,0,0,"51059"
"817","625 - Lorton Center (CD 8)",93,125,41,56,7,3,2,1,1,1,0,1,0,0,"51059"
"818","626 - Saratoga (CD 8)",198,241,114,93,29,3,0,1,1,1,0,0,0,0,"51059"
"819","627 - Woodlawn (CD 8)",135,124,59,38,15,1,0,0,1,0,0,0,1,0,"51059"
"820","628 - Laurel Hill (CD 11)",133,177,72,63,20,3,0,2,0,0,1,0,1,0,"51059"
"821","629 - South County (CD 11)",181,274,73,108,25,1,1,1,0,0,0,1,1,0,"51059"
"822","701 - Blake (CD 11)",154,349,86,126,23,4,3,1,1,1,3,0,0,0,"51059"
"823","703 - Fort Buffalo (CD 8)",40,98,11,32,6,1,1,0,0,0,0,0,0,0,"51059"
"824","704 - Freedom Hill (CD 11)",146,165,36,79,5,3,1,0,0,1,0,2,0,0,"51059"
"825","705 - Graham - Greenway (CD 8)",108,244,58,72,12,4,2,0,0,0,0,0,0,0,"51059"
"826","707 - Mantua (CD 11)",108,208,63,106,10,0,1,0,0,0,1,0,0,0,"51059"
"827","708 - Marshall (CD 8)",148,357,85,138,11,4,3,0,0,1,0,0,1,0,"51059"
"828","709 - Mosby (CD 11)",110,192,58,48,12,1,1,0,2,1,0,1,1,0,"51059"
"829","710 - Pine Spring (CD 8)",86,112,50,47,4,0,1,0,1,0,0,0,0,0,"51059"
"830","711 - Price (CD 11)",94,173,51,91,10,3,2,1,2,0,0,0,1,0,"51059"
"831","712 - Shreve (CD 8)",66,156,38,72,6,2,0,0,1,1,0,0,0,0,"51059"
"832","713 - Timber Lane (CD 8)",81,187,43,71,13,1,1,0,0,0,0,1,0,0,"51059"
"833","714 - Walker (CD 11)",139,232,71,64,15,5,1,0,0,0,1,1,1,0,"51059"
"834","717 - Woodburn (CD 11)",85,128,38,46,6,2,2,0,1,1,0,0,0,0,"51059"
"835","718 - Pine Ridge (CD 11)",122,141,56,69,8,0,1,2,0,1,0,1,0,0,"51059"
"836","720 - Thoreau (CD 11)",139,267,82,120,16,2,2,0,2,1,0,0,0,0,"51059"
"837","721 - Merrifield (CD 11)",125,268,71,91,13,3,5,0,1,1,2,0,0,0,"51059"
"838","726 - Magarity (CD 8)",127,215,56,74,31,4,2,0,0,2,0,0,0,0,"51059"
"839","727 - Oakton (CD 11)",167,234,85,152,23,4,2,0,2,1,2,1,1,0,"51059"
"840","729 - Nottoway (CD 11)",121,301,84,117,17,4,1,1,0,0,1,0,0,0,"51059"
"841","730 - Penderbrook (CD 11)",159,269,78,92,17,1,0,1,2,1,2,0,0,0,"51059"
"842","731 - Tysons (CD 11)",116,175,63,30,11,0,0,0,1,1,0,0,0,0,"51059"
"843","732 - Oak Marr (CD 11)",219,382,107,156,20,2,1,1,2,1,0,0,0,0,"51059"
"844","733 - Kilmer (CD 11)",145,262,65,108,14,3,1,0,0,1,0,0,1,0,"51059"
"845","734 - Hunters Branch (CD 11)",75,147,18,58,11,1,1,1,0,0,0,0,0,0,"51059"
"846","801 - Burke (CD 11)",223,330,109,133,36,2,2,0,0,1,0,0,0,0,"51059"
"847","802 - Cedar Lake (CD 11)",72,73,29,23,9,0,1,0,0,0,0,0,0,0,"51059"
"848","803 - Clifton (CD 10)",395,417,198,180,44,0,3,0,1,4,0,1,0,0,"51059"
"849","804 - Colchester (CD 10)",156,164,110,80,14,4,0,0,0,0,0,1,0,0,"51059"
"850","805 - Fairfax Station (CD 10)",119,198,62,100,18,1,2,0,1,2,1,0,0,0,"51059"
"851","806 - Sydenstricker (CD 11)",149,371,112,130,25,1,5,1,0,1,0,0,0,0,"51059"
"852","807 - Hunt Valley (CD 11)",110,230,76,119,24,2,2,1,0,2,1,0,0,0,"51059"
"853","811 - Pohick (CD 11)",87,154,46,54,13,3,1,2,0,0,0,0,1,0,"51059"
"854","812 - Valley (CD 11)",147,269,86,101,23,5,2,1,0,0,0,0,1,0,"51059"
"855","815 - Woodyard (CD 10)",218,303,88,153,25,3,2,0,0,0,0,0,0,0,"51059"
"856","824 - Orange (CD 11)",226,420,167,195,39,5,2,2,0,3,0,3,2,0,"51059"
"857","825 - Cherry Run (CD 11)",157,307,109,118,21,4,0,0,0,1,0,0,0,0,"51059"
"858","827 - Irving (CD 11)",140,291,92,114,19,3,2,0,0,1,0,0,1,0,"51059"
"859","833 - White Oaks (CD 11)",159,217,98,72,28,4,2,0,0,0,0,3,1,0,"51059"
"860","838 - Sangster (CD 10)",130,291,93,116,27,0,1,2,1,1,0,0,0,0,"51059"
"861","839 - Silverbrook (CD 10)",226,384,139,222,24,2,1,0,0,0,0,0,1,0,"51059"
"862","840 - West Springfield (CD 11)",158,333,79,155,26,2,1,2,1,3,0,0,0,0,"51059"
"863","841 - Popes Head (CD 10)",117,189,79,106,12,0,0,1,2,1,0,0,2,0,"51059"
"864","842 - Parkway (CD 11)",148,243,66,116,24,5,1,1,0,1,0,0,0,0,"51059"
"865","843 - Fair Lakes (CD 11)",144,204,103,74,24,4,1,2,2,1,0,0,1,0,"51059"
"866","844 - Centerpointe (CD 11)",90,130,50,51,16,2,1,1,1,0,0,0,0,0,"51059"
"867","845 - Fountainhead (CD 10)",364,417,127,197,34,3,1,0,1,0,0,1,0,0,"51059"
"868","846 - Greenbriar East (CD 11)",153,209,96,64,24,4,2,3,0,0,1,0,1,0,"51059"
"869","847 - Greenbriar West (CD 10)",140,210,74,47,18,3,1,1,0,0,3,0,0,0,"51059"
"870","848 - Fair Oaks (CD 11)",125,197,68,48,18,3,2,1,1,0,0,0,0,0,"51059"
"871","849 - Newgate North (CD 10)",106,222,50,71,15,4,0,0,0,0,0,0,0,0,"51059"
"872","850 - South Run (CD 10)",196,333,131,190,26,3,1,1,0,1,0,0,0,0,"51059"
"873","851 - Willow Springs (CD 11)",177,242,92,96,25,4,0,0,0,0,1,1,0,0,"51059"
"874","854 - Newgate South (CD 10)",230,452,95,158,30,0,0,1,1,0,1,2,0,0,"51059"
"875","901 - Centre Ridge (CD 11)",124,162,61,52,22,5,0,0,0,1,0,0,0,0,"51059"
"876","902 - Brookfield (CD 10)",160,201,113,64,23,0,3,2,1,0,1,0,0,0,"51059"
"877","903 - Cub Run (CD 10)",223,294,140,111,27,1,3,0,2,2,0,0,0,0,"51059"
"878","904 - Stonecroft (CD 10)",92,149,83,52,19,1,0,0,1,0,0,0,0,0,"51059"
"879","905 - Franklin (CD 10)",57,102,26,55,6,0,3,0,0,1,1,0,0,0,"51059"
"880","908 - Hidden Meadow (CD 10)",137,262,91,109,14,2,0,0,3,1,0,0,0,0,"51059"
"881","909 - Oak Hill (CD 10)",118,275,75,89,17,3,3,0,2,2,0,0,1,0,"51059"
"882","910 - London Towne (CD 11)",144,194,89,55,37,1,0,0,0,0,0,2,0,0,"51059"
"883","911 - Navy (CD 10)",182,315,98,143,16,2,2,0,0,0,0,1,0,0,"51059"
"884","913 - Rocky Run (CD 10)",290,369,165,115,23,3,3,0,2,0,1,1,1,0,"51059"
"885","914 - Vale (CD 10)",138,263,81,107,17,1,1,0,0,0,0,1,0,0,"51059"
"886","915 - Virginia Run (CD 10)",251,303,139,118,31,1,3,1,1,3,0,0,0,0,"51059"
"887","916 - Waples Mill (CD 10)",282,489,163,211,24,2,3,0,4,2,0,0,2,0,"51059"
"888","917 - Stone North (CD 10)",93,181,67,42,18,1,4,0,2,0,1,0,0,0,"51059"
"889","918 - Centreville (CD 11)",172,242,110,66,32,3,4,1,0,0,0,0,0,0,"51059"
"890","919 - Green Trails (CD 11)",168,253,122,68,18,4,4,2,1,0,3,0,0,0,"51059"
"891","920 - Chantilly (CD 10)",135,207,55,88,9,3,0,0,0,0,0,0,0,0,"51059"
"892","921 - Deer Park (CD 10)",258,296,118,122,35,3,5,1,1,3,0,0,1,0,"51059"
"893","923 - Bull Run (CD 10)",190,245,103,92,16,1,2,2,0,1,0,0,0,2,"51059"
"894","924 - Spindle (CD 11)",42,87,31,13,9,1,1,0,0,1,1,0,0,0,"51059"
"895","925 - Old Mill (CD 10)",98,130,68,39,10,1,0,0,1,0,1,0,0,0,"51059"
"896","925 - Old Mill (CD 11)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"51059"
"897","926 - Powell (CD 11)",170,197,98,52,31,6,5,1,0,0,1,0,0,0,"51059"
"898","927 - Armfield (CD 10)",120,121,36,51,21,1,0,0,0,0,0,1,1,0,"51059"
"899","928 - Poplar Tree (CD 10)",179,293,97,115,15,2,0,1,0,1,1,0,0,0,"51059"
"900","929 - Difficult Run (CD 10)",59,69,28,51,4,0,0,0,0,0,0,0,0,0,"51059"
"901","930 - Lees Corner (CD 10)",111,241,80,100,15,4,2,0,0,0,1,0,0,0,"51059"
"902","931 - Carson (CD 10)",101,163,66,73,16,3,0,1,2,0,1,0,0,0,"51059"
"903","932 - Stone South (CD 10)",70,81,47,19,14,2,3,0,0,1,1,1,0,0,"51059"
"904","933 - Compton (CD 11)",36,56,23,17,5,2,0,0,0,0,0,0,0,0,"51059"
"905","Ab - Central Absentee Precinct (CD 10)",361,617,200,256,30,34,3,0,11,3,1,0,1,0,"51059"
"906","Ab - Central Absentee Precinct (CD 11)",485,794,314,348,50,54,9,0,12,7,2,0,2,0,"51059"
"907","Ab - Central Absentee Precinct (CD 8)",302,445,143,196,28,33,1,4,5,9,0,2,0,0,"51059"
"908","Provisional (CD 10)",5,5,1,1,1,0,0,0,0,0,0,0,0,0,"51059"
"909","Provisional (CD 11)",5,12,3,2,3,0,0,0,0,0,0,0,0,0,"51059"
"910","Provisional (CD 8)",5,6,3,3,0,0,0,0,0,1,0,0,0,0,"51059"
"911","1 - One",109,175,55,52,23,1,1,0,0,0,2,0,0,0,"51600"
"912","2 - Two",135,162,59,112,19,1,1,0,0,3,0,0,0,0,"51600"
"913","3 - Three",166,250,92,103,18,1,2,2,0,2,1,0,0,0,"51600"
"914","4 - Four",117,192,89,95,18,0,3,0,0,3,0,1,0,0,"51600"
"915","5 - Five",94,169,91,77,2,3,2,1,2,2,0,0,0,0,"51600"
"916","6 - Six",107,132,77,61,15,1,2,2,0,0,0,0,2,0,"51600"
"917","Ab - Central Absentee Precinct",32,44,21,20,3,5,0,2,1,6,1,0,0,0,"51600"
"918","Provisional",2,0,0,0,0,0,1,0,0,0,0,0,0,0,"51600"
"919","1 - First Ward",78,234,56,102,16,1,5,0,3,0,0,0,0,0,"51610"
"920","2 - Second Ward",70,211,42,111,7,3,1,0,0,1,0,0,0,0,"51610"
"921","3 - Third Ward",81,229,81,136,14,3,0,0,0,1,0,0,0,0,"51610"
"922","Ab - Central Absentee Precinct",17,33,12,18,0,3,0,0,0,0,0,0,0,0,"51610"
"923","Provisional",0,1,0,0,0,0,0,0,0,0,0,0,0,0,"51610"
"924","101 - Kettle Run (CD 5)",166,95,89,20,20,1,1,0,1,0,0,0,0,0,"51061"
"925","102 - Catlett (CD 1)",345,173,165,35,53,0,2,1,0,0,0,1,0,0,"51061"
"926","103 - Casanova (CD 5)",144,64,90,26,32,1,0,0,1,0,0,0,0,0,"51061"
"927","104 - Lois (CD 1)",170,64,77,14,24,1,1,0,1,1,0,0,0,0,"51061"
"928","105 - Opal (CD 5)",126,102,88,16,33,0,2,1,1,0,0,1,0,0,"51061"
"929","106 - Baldwin Ridge (CD 5)",169,143,98,54,29,1,2,0,0,1,1,1,0,0,"51061"
"930","201 - Courthouse (CD 5)",276,271,136,82,74,4,3,1,0,3,0,0,0,0,"51061"
"931","202 - Airlie (CD 5)",246,254,137,87,66,2,7,1,2,2,0,0,2,0,"51061"
"932","203 - Warrenton (CD 5)",250,239,137,64,60,4,4,0,2,2,1,0,0,0,"51061"
"933","301 - Morrisville (CD 1)",251,96,104,29,46,4,5,0,1,0,1,1,1,0,"51061"
"934","302 - Remington (CD 5)",271,183,144,42,62,7,4,2,1,0,0,0,1,0,"51061"
"935","303 - Bealeton (CD 1)",317,199,151,39,50,4,5,0,2,0,0,1,0,0,"51061"
"936","401 - Marshall (CD 5)",268,202,159,70,34,2,3,1,1,2,0,0,1,0,"51061"
"937","402 - Leeds (CD 5)",205,171,113,66,26,7,0,0,0,1,0,1,0,0,"51061"
"938","403 - Waterloo (CD 5)",318,237,187,81,48,3,1,1,1,1,0,1,0,0,"51061"
"939","404 - Springs Valley (CD 5)",141,120,83,44,24,0,1,0,1,0,2,0,0,0,"51061"
"940","501 - The Plains (CD 5)",168,164,75,107,32,3,0,0,0,0,0,0,0,0,"51061"
"941","502 - New Baltimore (CD 5)",304,233,154,81,68,2,3,1,1,0,1,0,0,0,"51061"
"942","503 - Broad Run (CD 5)",287,234,115,106,40,2,3,0,0,5,1,0,0,0,"51061"
"943","504 - Vint Hill (CD 5)",382,390,266,127,67,4,2,2,0,2,0,0,0,0,"51061"
"944","Ab - Central Absentee Precinct (CD 1)",13,9,8,3,0,0,0,0,2,0,0,0,0,0,"51061"
"945","Ab - Central Absentee Precinct (CD 5)",71,80,59,32,9,5,0,0,0,2,1,0,0,0,"51061"
"946","Provisional (CD 1)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"51061"
"947","Provisional (CD 5)",2,3,0,0,1,0,0,0,0,0,0,0,0,0,"51061"
"948","101 - Locust Grove",210,75,127,18,37,0,2,2,1,0,0,0,1,0,"51063"
"949","201 - Little River",201,108,139,23,44,2,1,1,1,0,0,0,0,0,"51063"
"950","301 - Courthouse",170,89,97,13,29,2,1,1,0,0,0,0,0,0,"51063"
"951","401 - Burks Fork",188,103,117,21,32,1,1,2,1,0,0,0,0,0,"51063"
"952","501 - Indian Valley",214,84,125,17,38,2,1,0,0,0,0,0,0,0,"51063"
"953","Ab - Central Absentee Precinct",38,23,16,6,4,0,0,0,0,0,0,0,0,0,"51063"
