"pcode","winner_2022","total_2022","winner_votes_2022","winner_percent_2022"
"51153608","yesli_isabel_vega",165,108,0.654545454545455
"51153609","yesli_isabel_vega",73,44,0.602739726027397
"51153610","yesli_isabel_vega",71,37,0.52112676056338
"51153611","yesli_isabel_vega",99,52,0.525252525252525
"51153612","yesli_isabel_vega",76,41,0.539473684210526
"51153613","yesli_isabel_vega",19,8,0.421052631578947
"51153614","yesli_isabel_vega",114,66,0.578947368421053
"51153615","yesli_isabel_vega",6,4,0.666666666666667
"51153616","yesli_isabel_vega",8,3,0.375
"51153701","yesli_isabel_vega",169,93,0.550295857988166
"51153702","yesli_isabel_vega",82,33,0.402439024390244
"51153703","yesli_isabel_vega",24,7,0.291666666666667
"51153704","yesli_isabel_vega",39,17,0.435897435897436
"51153705","yesli_isabel_vega",90,49,0.544444444444444
"51153706","yesli_isabel_vega",103,43,0.41747572815534
"51153707","yesli_isabel_vega",71,34,0.47887323943662
"51153708","yesli_isabel_vega",57,19,0.333333333333333
"51153709","yesli_isabel_vega",38,20,0.526315789473684
"51153710","derrick_martin_anderson",26,5,0.192307692307692
"51153711","yesli_isabel_vega",76,26,0.342105263157895
"51153712","yesli_isabel_vega",136,74,0.544117647058823
"51177101","derrick_martin_anderson",273,59,0.216117216117216
"51177102","derrick_martin_anderson",259,38,0.146718146718147
"51177103","derrick_martin_anderson",320,75,0.234375
"51177104","derrick_martin_anderson",218,50,0.229357798165138
"51177201","derrick_martin_anderson",277,70,0.252707581227437
"51177202","derrick_martin_anderson",291,57,0.195876288659794
"51177203","derrick_martin_anderson",299,58,0.193979933110368
"51177204","derrick_martin_anderson",232,43,0.185344827586207
"51177301","bryce_e_reeves",277,60,0.216606498194946
"51177302","derrick_martin_anderson",260,52,0.2
"51177303","david_ross",521,111,0.213051823416507
"51177401","yesli_isabel_vega",225,51,0.226666666666667
"51177402","derrick_martin_anderson",189,47,0.248677248677249
"51177403","yesli_isabel_vega",311,91,0.292604501607717
"51177501","yesli_isabel_vega",256,65,0.25390625
"51177502","derrick_martin_anderson",193,26,0.134715025906736
"51177503","derrick_martin_anderson",262,41,0.156488549618321
"51177504","bryce_e_reeves",262,54,0.206106870229008
"51177505","bryce_e_reeves",467,114,0.244111349036403
"51177601","yesli_isabel_vega",249,76,0.305220883534137
"51177602","bryce_e_reeves",317,61,0.192429022082019
"51177603","derrick_martin_anderson",150,39,0.26
"51177701","bryce_e_reeves",154,42,0.272727272727273
"51177702","bryce_e_reeves",265,60,0.226415094339623
"51177703","derrick_martin_anderson",82,16,0.195121951219512
"51177704","derrick_martin_anderson",406,81,0.199507389162562
"51179101","crystal_l_vanuch",683,98,0.143484626647145
"51179102","derrick_martin_anderson",345,84,0.243478260869565
"51179103","crystal_l_vanuch",292,75,0.256849315068493
"51179104","crystal_l_vanuch",378,77,0.203703703703704
"51179201","crystal_l_vanuch",332,51,0.153614457831325
"51179202","crystal_l_vanuch",434,54,0.124423963133641
"51179203","crystal_l_vanuch",414,48,0.115942028985507
"51179204","crystal_l_vanuch",483,89,0.184265010351967
"51179301","crystal_l_vanuch",115,31,0.269565217391304
"51179302","crystal_l_vanuch",197,57,0.289340101522843
"51179303","crystal_l_vanuch",174,47,0.270114942528736
"51179304","crystal_l_vanuch",97,17,0.175257731958763
"51179401","crystal_l_vanuch",52,15,0.288461538461538
"51179402","crystal_l_vanuch",220,59,0.268181818181818
"51179403","crystal_l_vanuch",518,129,0.249034749034749
"51179404","crystal_l_vanuch",287,70,0.24390243902439
"51179501","crystal_l_vanuch",350,75,0.214285714285714
"51179502","crystal_l_vanuch",280,78,0.278571428571429
"51179503","crystal_l_vanuch",238,51,0.214285714285714
"51179504","crystal_l_vanuch",251,46,0.183266932270916
"51179601","crystal_l_vanuch",324,64,0.197530864197531
"51179602","crystal_l_vanuch",314,67,0.213375796178344
"51179603","crystal_l_vanuch",530,98,0.184905660377358
"51179604","crystal_l_vanuch",76,11,0.144736842105263
"51179701","crystal_l_vanuch",349,86,0.246418338108883
"51179702","crystal_l_vanuch",169,39,0.230769230769231
"51179703","crystal_l_vanuch",389,118,0.303341902313625
"51630101","bryce_e_reeves",170,31,0.182352941176471
"51630201","yesli_isabel_vega",175,61,0.348571428571429
"51630301","bryce_e_reeves",231,67,0.29004329004329
"51630401","bryce_e_reeves",54,10,0.185185185185185
"51630402","bryce_e_reeves",76,15,0.197368421052632
