"pcode","winner_2022","total_2022","winner_votes_2022","winner_percent_2022"
"51001101","jarome_bell",320,66,0.20625
"51001201","jarome_bell",102,40,0.392156862745098
"51001202","jarome_bell",163,68,0.417177914110429
"51001301","jarome_bell",115,34,0.295652173913043
"51001401","jarome_bell",60,21,0.35
"51001402","jarome_bell",80,33,0.4125
"51001403","jennifer_ann_kiggans",50,28,0.56
"51001501","jarome_bell",42,19,0.452380952380952
"51001502","jennifer_ann_kiggans",21,9,0.428571428571429
"51001601","jennifer_ann_kiggans",150,71,0.473333333333333
"51001602","jarome_bell",64,23,0.359375
"51001701","jennifer_ann_kiggans",169,97,0.57396449704142
"51001801","jennifer_ann_kiggans",70,31,0.442857142857143
"51001802","jarome_bell",55,24,0.436363636363636
"51001803","jarome_bell",94,35,0.372340425531915
"51001901","jennifer_ann_kiggans",141,64,0.453900709219858
"51093101","jennifer_ann_kiggans",294,155,0.527210884353742
"51093102","jennifer_ann_kiggans",275,151,0.549090909090909
"51093103","jennifer_ann_kiggans",19,11,0.578947368421053
"51093201","jennifer_ann_kiggans",201,96,0.477611940298507
"51093202","jennifer_ann_kiggans",306,195,0.637254901960784
"51093203","jennifer_ann_kiggans",18,9,0.5
"51093301","jennifer_ann_kiggans",70,34,0.485714285714286
"51093302","jennifer_ann_kiggans",85,43,0.505882352941176
"51093303","jennifer_ann_kiggans",30,15,0.5
"51093304","jennifer_ann_kiggans",20,13,0.65
"51093401","jennifer_ann_kiggans",173,104,0.601156069364162
"51093402","jarome_bell",212,92,0.433962264150943
"51093403","jennifer_ann_kiggans",157,71,0.452229299363057
"51093501","jennifer_ann_kiggans",111,64,0.576576576576577
"51093502","jennifer_ann_kiggans",97,53,0.54639175257732
"51093503","jennifer_ann_kiggans",155,86,0.554838709677419
"51093504","jennifer_ann_kiggans",132,62,0.46969696969697
"51131101","jennifer_ann_kiggans",198,106,0.535353535353535
"51131201","jennifer_ann_kiggans",59,35,0.593220338983051
"51131301","jarome_bell",52,22,0.423076923076923
"51131401","jennifer_ann_kiggans",122,60,0.491803278688525
"51131501","jennifer_ann_kiggans",129,80,0.62015503875969
"51175101","jennifer_ann_kiggans",52,25,0.480769230769231
"51175102","jarome_bell",87,41,0.471264367816092
"51175501","jennifer_ann_kiggans",102,43,0.42156862745098
"51175502","jennifer_ann_kiggans",23,14,0.608695652173913
"51175601","jarome_bell",70,25,0.357142857142857
"51175602","jennifer_ann_kiggans",54,27,0.5
"51175701","jarome_bell",20,9,0.45
"51175702","jarome_bell",17,7,0.411764705882353
